,datetime,depto,op1,op2,op3,prop1,prop2,prop3,prop4,total
0,2013/04,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",TV ISLA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,COME SEE NEW BALL JAY y CIA. LTDA.,0.5351780983220489,0.31586694141889904,0.07491904621725051,0.07403591404180154,6794
0,2013/04,ATLÁNTICO,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.3330889424221361,0.27963874579853937,0.24486541043390495,0.14240690134541956,210046
0,2013/04,BOLÍVAR,UNE EPM TELECOMUNICACIONES S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.4771007896799084,0.19408192175538008,0.13588070408101754,0.1929365844836941,132712
0,2013/04,CALDAS,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.49600929152148665,0.18908246225319397,0.1299883855981417,0.1849198606271778,107625
0,2013/04,CAQUETA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6268161480066362,0.20124679503292947,0.0856166105273742,0.08632044643306014,19891
0,2013/04,CAUCA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,CABLE CAUCA S.A,0.39760348583877997,0.2078150256518378,0.17534612411272754,0.2192353643966547,56916
0,2013/04,CHOCÓ,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.6656586216923525,0.25670252980517594,0.07763884850247164,0.0,17195
0,2013/04,CUNDINAMARCA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,H V TELEVISION S.A.S.,0.5304906521851922,0.26607979799726744,0.12140052921948773,0.08202902059805262,231284
0,2013/04,CÓRDOBA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.3333333333333333,0.28379210145861067,0.15779905812971473,0.22507550707834134,69861
0,2013/04,HUILA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.5163624354509427,0.19370721748528882,0.17746487330371083,0.11246547376005755,66616
0,2013/04,LA GUAJIRA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.3872598294034866,0.25678508860105115,0.17657026336195755,0.17938481863350464,34819
0,2013/04,NORTE DE SANTANDER,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.5644462351150505,0.11798728623869639,0.10201450443190975,0.21555197421434336,111690
0,2013/04,RISARALDA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.5774539232984274,0.2312886200285664,0.09567455680056217,0.09558289987244406,130923
0,2013/04,SANTANDER,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.3615388584267133,0.359371848571978,0.12747834162769645,0.15161095137361225,213197
