datetime,id_departamento,departamento,id_municipio,municipio,accesos
2017/02,5,ANTIOQUIA,5313,GRANADA,514
2017/02,70,SUCRE,70473,MORROA,514
2017/02,47,MAGDALENA,47030,ALGARROBO,513
2017/02,25,CUNDINAMARCA,25035,ANAPOIMA,495
2017/02,52,NARIÑO,52378,LA CRUZ,487
2017/02,47,MAGDALENA,47053,ARACATACA,482
2017/02,76,VALLE DEL CAUCA,76823,TORO,479
2017/02,13,BOLÍVAR,13873,VILLANUEVA,478
2017/02,5,ANTIOQUIA,5091,BETANIA,471
2017/02,17,CALDAS,17662,SAMANÁ,470
2017/02,15,BOYACÁ,15047,AQUITANIA,468
2017/02,15,BOYACÁ,15599,RAMIRIQUÍ,466
2017/02,73,TOLIMA,73624,ROVIRA,466
2017/02,27,CHOCÓ,27006,ACANDÍ,464
2017/02,63,QUINDÍO,63272,FILANDIA,463
2017/02,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,462
2017/02,13,BOLÍVAR,13838,TURBANÁ,457
2017/02,15,BOYACÁ,15686,SANTANA,454
2017/02,23,CÓRDOBA,23350,LA APARTADA,452
2017/02,52,NARIÑO,52678,SAMANIEGO,451
2017/02,13,BOLÍVAR,13442,MARÍA LA BAJA,447
2017/02,8,ATLÁNTICO,8421,LURUACO,445
2017/02,13,BOLÍVAR,13673,SANTA CATALINA,441
2017/02,5,ANTIOQUIA,5809,TITIRIBÍ,440
2017/02,15,BOYACÁ,15646,SAMACÁ,433
2017/02,73,TOLIMA,73124,CAJAMARCA,431
2017/02,73,TOLIMA,73678,SAN LUIS,430
2017/02,23,CÓRDOBA,23675,SAN BERNARDO DEL VIENTO,428
2017/02,41,HUILA,41615,RIVERA,428
2017/02,25,CUNDINAMARCA,25295,GACHANCIPÁ,426
2017/02,63,QUINDÍO,63690,SALENTO,420
2017/02,73,TOLIMA,73030,AMBALEMA,419
2017/02,91,AMAZONAS,91001,LETICIA,416
2017/02,5,ANTIOQUIA,5315,GUADALUPE,411
2017/02,5,ANTIOQUIA,5576,PUEBLORRICO,411
2017/02,70,SUCRE,70418,LOS PALMITOS,411
2017/02,44,LA GUAJIRA,44560,MANAURE,405
2017/02,17,CALDAS,17050,ARANZAZU,403
2017/02,73,TOLIMA,73504,ORTEGA,400
2017/02,5,ANTIOQUIA,5353,HISPANIA,397
2017/02,44,LA GUAJIRA,44378,HATONUEVO,394
2017/02,5,ANTIOQUIA,5411,LIBORINA,391
2017/02,68,SANTANDER,68895,ZAPATOCA,390
2017/02,52,NARIÑO,52585,PUPIALES,389
2017/02,70,SUCRE,70508,OVEJAS,388
2017/02,50,META,50711,VISTAHERMOSA,385
2017/02,50,META,50287,FUENTE DE ORO,383
2017/02,73,TOLIMA,73675,SAN ANTONIO,383
2017/02,5,ANTIOQUIA,5150,CAROLINA,379
2017/02,41,HUILA,41016,AIPE,379
2017/02,17,CALDAS,17444,MARQUETALIA,377
2017/02,5,ANTIOQUIA,5854,VALDIVIA,374
2017/02,15,BOYACÁ,15806,TIBASOSA,374
2017/02,76,VALLE DEL CAUCA,76100,BOLÍVAR,374
2017/02,5,ANTIOQUIA,5792,TARSO,371
2017/02,66,RISARALDA,66594,QUINCHÍA,371
2017/02,73,TOLIMA,73067,ATACO,369
2017/02,18,CAQUETA,18592,PUERTO RICO,365
2017/02,50,META,50110,BARRANCA DE UPÍA,364
2017/02,25,CUNDINAMARCA,25736,SESQUILÉ,361
2017/02,5,ANTIOQUIA,5647,SAN ANDRÉS DE CUERQUÍA,359
2017/02,5,ANTIOQUIA,5690,SANTO DOMINGO,356
2017/02,73,TOLIMA,73352,ICONONZO,354
2017/02,76,VALLE DEL CAUCA,76606,RESTREPO,352
2017/02,13,BOLÍVAR,13744,SIMITÍ,351
2017/02,25,CUNDINAMARCA,25658,SAN FRANCISCO,349
2017/02,85,CASANARE,85430,TRINIDAD,348
2017/02,20,CESAR,20400,LA JAGUA DE IBIRICO,346
2017/02,76,VALLE DEL CAUCA,76869,VIJES,340
2017/02,19,CAUCA,19845,VILLA RICA,339
2017/02,86,PUTUMAYO,86219,COLÓN,339
2017/02,73,TOLIMA,73347,HERVEO,335
2017/02,5,ANTIOQUIA,5856,VALPARAÍSO,330
2017/02,66,RISARALDA,66318,GUÁTICA,328
2017/02,73,TOLIMA,73226,CUNDAY,325
2017/02,17,CALDAS,17495,NORCASIA,324
2017/02,25,CUNDINAMARCA,25772,SUESCA,324
2017/02,66,RISARALDA,66045,APÍA,323
2017/02,25,CUNDINAMARCA,25488,NILO,322
2017/02,27,CHOCÓ,27800,UNGUÍA,321
2017/02,68,SANTANDER,68572,PUENTE NACIONAL,321
2017/02,52,NARIÑO,52885,YACUANQUER,320
2017/02,68,SANTANDER,68255,EL PLAYÓN,318
2017/02,25,CUNDINAMARCA,25599,APULO,316
2017/02,5,ANTIOQUIA,5885,YALÍ,315
2017/02,13,BOLÍVAR,13222,CLEMENCIA,315
2017/02,50,META,50590,PUERTO RICO,311
2017/02,25,CUNDINAMARCA,25099,BOJACÁ,308
2017/02,5,ANTIOQUIA,5113,BURITICÁ,307
2017/02,15,BOYACÁ,15480,MUZO,303
2017/02,54,NORTE DE SANTANDER,54250,EL TARRA,302
2017/02,68,SANTANDER,68855,VALLE DE SAN JOSÉ,297
2017/02,70,SUCRE,70823,SAN JOSÉ DE TOLUVIEJO,297
2017/02,15,BOYACÁ,15087,BELÉN,295
2017/02,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,294
2017/02,5,ANTIOQUIA,5021,ALEJANDRÍA,293
2017/02,54,NORTE DE SANTANDER,54003,ABREGO,293
2017/02,5,ANTIOQUIA,5628,SABANALARGA,292
2017/02,25,CUNDINAMARCA,25873,VILLAPINZÓN,292
2017/02,25,CUNDINAMARCA,25040,ANOLAIMA,290
2017/02,27,CHOCÓ,27787,TADÓ,290
2017/02,76,VALLE DEL CAUCA,76246,EL CAIRO,290
